product_name,product_manufacturer,product_mrp,type,quickViewDesc
AGARO Tens Dual Channel Knee, Back, Neck Massager (20 Intensity Levels, 33536, Black),Agaro,4999,Massagers,Dual Channel Massager | Functions: Pain Relief / Relaxation | 10 Gel Pads | 24 Modes | 20 Level Speed Setting | Warranty: 12 Months
Croma Rotary Massager 8 Rollers (W288, Brown),Croma,7900,Massagers,Back Massager Seat Suitable for home, office | Helps Pain Relief/Relaxation and it has 3 timer functions - 15 mins, 30 mins and 60 mins | Remote Control Function | 5 Massage Settings - Pulsate, Tapping, Rolling, Auto, Kneading | 4 Intensity levels for having a gentle to deep tissue massage experience | 2 Years Warranty
Croma Back & Neck Massager (Heat Function, Black),Croma,9300,Massagers,Back & Neck Massager | Functions: Pain Relief/Relaxation | 15 Minutes Auto shut-Off | Table Top | 3 Preset Programs | 24 Months Warranty
Croma Back Massager Seat (Isolation Massage, Black),Croma,4600,Massagers,Back Massager Seat Suitable for home, office and car | Helps Pain Relief/Relaxation and it has 3 timer functions - 15 mins, 30 mins and 60 mins | Remote Control Function | 5 Massage Settings - Pulsate, Tapping, Rolling, Auto, Kneading | 4 Intensity levels for having a gentle to deep tissue massage experience | 2 Years Warranty
Croma Leg Massager (Vibration and Heat Therapy, Brown),Croma,27800,Massagers,Calf & Foot Massager | Functions: Vibration and Heat | Air Pressure Function | 15 Mins Auto-Shut Off | 3 Intensity levels | 24 Months Warranty
Hyperice Venom Back Massager (Nano-Technology, Variable Heat Levels, 101066, Black),Hyperice,19999,Massagers,Back Massager | Functions: Pain Relief/Relaxation | Digital Touchscreen Control | Portable | Variable Heat Levels | 12 Months Warranty
Croma Replaceable Cloth For Leg Massager (Black),Croma,800,Other Health Care Products,Replaceable Cloth | Durable Fabric | Machine Washable
Croma Full Body Mini Massager Gun (4 Speed settings, Dark Blue),Croma,7400,Massagers,Full Body Massager designed for deep tissue precision | 6 massage heads - Spherical, Ball, Bullet, U shaped, Shovel, Flat, Thumb | Powerful Brushless High Torque Motor delivers 3300 stroke per minute | 3 hours battery life | 4 Speed Settings press + and - to increase or decrese the intensity | 24 Months Warranty
Croma Foot Massager (Shiatsu Massage Therapy, Warm Function, Rubber Grey),Croma,16500,Massagers,Foot Massager | Functions: Helps Pain Relief/Relaxation | 3 Preset Programs | 150 Kg Maximum Weighing Capacity | 10 Mins Auto Timer | 24 Months Warranty
AGARO Magma Leg Massager (3 Massage Mode, 33511, Black),Agaro,19995,Massagers,Leg Massager | Functions: Pain Relief / Relaxation | Adjustable Leg Wraps | Foot, Calf & Thigh | Auto Shut Off | Warranty: 12 Months
AGARO Amaze Leg Massager (3 Massage Levels, Auto Shut Off, 33320, Silver & Black),Agaro,16999,Massagers,Foot, Calf and Leg Massager | Functions: Pain Relief / Blood Flow Control | Heat and Vibration Therapy | Floor Standing | Removable and Washable Foot Sleeves | 12 Months Warranty
CONTEC Pulse Oximeter (Low Power Consumption, CMS50N1, Blue),Contec,3590,Health Monitors,Pulse Oximeter | Functions: Monitors Pulse/Oxygen Saturation Levels | Low Power Consumption | Handheld | Convenient To Carry
itek Ozone Box Smart Disinfector (OD100, White),itek,3999,Sanitization Products,Eliminates 99% of Germs, Bacteria Through Ozone | Sanitizes Your Product in 20 Minutes | Removes Odour Along with Sterilization | Large Size Chamber | LED Mood Light with 7 Different Colours | Charge and Sanitize At The Same Time
WONDERCHEF Battery Powered UV Sterilizer (Multi Functional, 63153569, White),Wonderchef,3000,Sanitization Products,Device Disinfector | Ideal For: Household | Auto-Shut Off After 10 Minutes | Advanced Wireless Charging Technology | Add Refreshing Fragrance | 12 Months Warranty
Dr. Odin Neck Heat Pad (Instant Heat Up, Neck Heating Pad, Dark Blue),Dr. Odin,1499,Massagers,Heat Pad | Functions: Helps Pain Relief/Relaxation | Dual Safety Protection | Table Top | Instant Heat Up | 12 Months Warranty
Dettol Automatic Soap Dispenser (Aloe Vera Refill Pack- 250ml, 3192934, White),Dettol,999,Sanitization Products,Soap Dispenser | Functions: Disinfecting, Decontaminating | Foldable | No Touch Hand wash | Portable | 24 Months Warranty
voltmi Smartwatch (24/7 Health Monitoring System, 40mm) (Monitor Body Temperature to Prevent Coronavirus Pneumonia, Dr Senor, Silver),Voltmi,4999,Health Monitors,Compatible Devices: Smartphones | Ideal For: Unisex | Lifestyle: Workout |Health Monitoring | Basic Features: SMS, Call Notification | Health Tracker: Body Temperature | Blood Pressure | Blood Oxygen Level | Immunity Level | ECG
Arctic Fox UV-C Virus Germicidal Bulb Diffuser Bag (20 Ltrs, FEXUTBBLKWZ120020, Black),Arctic Fox,6950,Sanitization Products,Ideal For: Disinfecting Garments, Electronic Gadgets, Shoes, Food and Beverage | Load Capacity: 20 Ltrs | Foldable and Portable, 2 UV-C Bulbs, Digital Timer | 12 Months Warranty
STRACK Smart Posture Corrector and Trainer (Skin Friendly Hi-grade polycarbonate,Strack,6699,Massagers,Posture Tracker | Functions: Pain Relief / Relaxation | Reduced Back pain, Increased Confidence, Improved Productivity | Handheld | Posture Management, In-activity tracking, Data Syncing | 12 Months Warranty
Day-Pro Tech Household Oxygen Concentrator (Flow Rate: 1L/min, ZY-1Z, White),Day-Pro,41072,Other Health Care Products,Oxygen Concentrator | Helps in Breathing Therapy | Flow Rate: 1L/min | Portable | Oxygen Purity 93% + - 3% | 12 Months Warranty
OakMist Mini Automatic Sanitizer Dispenser (Touchless Sanitizer Dispenser, 95102, White),Oakmist,5990,Sanitization Products,Automatic Sanitizer Dispenser | Functions: Dispensing | Sanitizing | Ideal For: Commercial Places | Household | Restaurants | Shops | Table Top and Wall Mount | Power Source: Electricity | 1.2 Litres Capacity | 12 Months Warranty
AGARO Alpha Full Body Massager (2 Exercise Band, 33617, Black),Agaro,13995,Massagers,Full Body Massager | Functions: Pain Relief / Relaxation | 2 Exercise Bands | 5 Pre-program Modes | Speed Levels: 0-180 | Warranty: 12 Months
mypurmist Ultrapure Sterile Water Facial Steamer (20 Refills, NI1917, White),Mypurmist,799,Other Health Care Products,Face, Nose | Facial Steamer | Functions: Helps in Breathing therapy | Sterile and is the purest form of water | 20 Refill Packs
Dr. Odin Walking Stick (SOS Alarm, GB-819, Black),Dr. Odin,4700,Unknown,Walking Stick | Functions: Helps Mobility | SOS Alarm | Handheld | FM Radio | 3 Months Warranty
LYFRO Battery Powered Smart Sanitizer Dispenser (Flow, White),LYFRO,2999,Sanitization Products,Nanoscale Atomisation | Intelligent Touch-Free Sensor | Battery Life: Upto 6 Hours or Upto 1440 Sprays | Leak Proof Design | Portable Size
Hyperice Hypervolt 2 Legs and Back Massager (QuietGlide Technology, 53200 356-00, Grey),Hyperice,30999,Massagers,Back, Legs, Hands and Knee Massager | Functions: Helps Pain Relief/Relaxation | Patented Pressure Sensor Technology | Handheld | 3 Level Speed Setting | 12 Months Warranty
AGARO Atom Full Body Massager (Variable Speed Control, 33225, Black),Agaro,1495,Massagers,Handheld Full Body Massager | Functions: Pain Relief / Relaxation | Three Replacable Heads | Compact Handheld Design | Variable Speed Settings | 12 Months Warranty
iGear Health Series Pulse Oximeter (SpO2, PR BPM and PI Display, iG-PO1, Black/White),IGear,3000,Health Monitors,Product Type: Pulse Oximeter | Product Functions: Infrared Sensor, One Click Measurement, 4 Direction Display, Multi-colored Display | USP: SpO2, PR BPM and PI% Display | Warranty: 12-Months
WONDERCHEF Prato Electric UVC Sanitizing Oven (Disinfecting, 63153564, Black),Wonderchef,6500,Sanitization Products,Product Functions: Disinfecting | Sterilizing | Ideal For: Household | Installation Type: Table Top | Power Source: Electricity | 9 Litres Capacity | 24 Months Warranty
AGARO Shiatsu Foot Massager (Auto Shut Off, 33158, Black),Agaro,9495,Massagers,Feet Massager | Functions: Pain Relief / Relaxation, Improving Blood Circulation | Rolling and Kneading Massage | Floor Standing | Four Preset Pressure Options | 12 Months Warranty
EUREKA FORBES CoronaGuard Virus Disinfector (Real Time Protection, White),Eureka Forbes,24999,Sanitization Products,Functions: Disinfecting | Ideal For: Commercial Places | Hospitals | Household | Restaurants | Shops | Installation Type: Wall Mount | Power Source: Electricity | Powered By Shycocan | 12 Months Warranty
Eagle Digital Weight Scale (Battery Powered, 17 Vital Body Parameteres, EEP1002A, Charcoal Black),Eagle,6499,Health Monitors,Digital Weighing Scale | Functions: Displays Weight | Capacity: 200 kg | 6 mm Tempered Glass | Auto Shut on/off | 12 Months Warranty
nedis Foot Warmer (Detachable Controller, PEFW110CGY, Grey),Nedis,5199,Other Health Care Products,Foot Warmer | Functions: Helps Pain Relief / Relaxation | Detachable Controller | Portable | 6 Level Speed Setting | 6 Months Warranty
Croma Neck and Shoulder Massager (Zipped Fabric, Grey),Croma,4600,Massagers,Neck and Shoulder Massager | Functions: Pain Relief/Relaxation | 10 Minutes Operation Time | 2 Speed and Modes | 24 Months Warranty
Hyperice Hypervolt Arm, Legs Massager (Patented QuietGlide Technology, 3 Speed Settings, 101291, Black),Hyperice,33999,Massagers,Arm, Legs Massager | Functions: Helps Pain Relief/Relaxation | Bluetooth Support | Handheld | 3 Speed Settings | 12 Months Warranty
Lifelong Infrared Non Contact IR Thermometer (JA-11A, White),Lifelong,6000,Health Monitors,Thermometer | Function: Measures Temperature | Contact Less Measurement (Range 5 - 15 cm) | Handheld | Temperature Measures in 1 Second | 12 Months Warranty
Godrej UV Case (Kills Viruses & bacteria, 46171591DG01661, Grey),Godrej,21999,Sanitization Products,UV Case | Functions: Virus Disinfectant | Chemical Free Process | Table Top | Kills 99.9% Viruses & bacteria | 12 Months Warranty
SVARAS Home Rechargeable UV Sterilizer (Voice Alarm, X2 Pro, White),SVARAS,7999,Sanitization Products,Offers 99.9% Sterilization | Eco-Friendly Design | Uses Cutting Edge HEUV Technology | Effective Against All Kinds of Microbes
AGARO Rejoice Foot, Calf & Leg Massager (15 Minutes Auto- Shut Off, 33505, Grey),Agaro,37999,Massagers,Foot, Calf & Leg Massager | Functions: Pain Relief / Relaxation, Blood Flow Control | Rolling and Kneading Functions | Floor Standing | Heat/Warm Function | 12 Months Warranty
DEDAKJ Household Oxygen Concentrator (Flow Rate: 2 - 9 L/min, DE-2AW, White),Dedakj,47991,Other Health Care Products,Oxygen Concentrator | Helps in Breathing Therapy | Flow Rate: 2 - 9 L/min | Portable | Oxygen Concentration 30 - 90% | 12 Months Warranty
NuvoMed Handheld Massager Wand (NMW-12/0713, White),NuvoMed,999,Massagers,Handheld Shoulder Massager | Functions: Pain Relief/Relaxation | Ergonomic Rubber Handle | Handheld | Promote Blood Circulation | 12 Months Warranty
Croma AH3505 Full Body Massager (Voice Control, CRSHFBMMRA343501, Brown),Croma,450000,Massagers,Full Body Massager | Functions: Helps Pain Relief/Relaxation | Built-in Speaker | Floor Standing | 5 Level Speed Setting | 12 Months Warranty
hindware Purge Electric Disinfectant Solution Generator (Algae Removal and Deodorization, DG-09201, White),Hindware,9999,Sanitization Products,Deodorizing, Disinfecting, Sterilizing Functions | Solution Can Be Prepared Within 3 Minutes | Disinfectant Solution Lasts Upto 24 Hours | Easy to Carry | Eco Friendly
Cuckoo Disinfectant Solution Generator (CS-A0250AW, White),Cuckoo,8990,Sanitization Products,Solution Generator | Functions: Eliminates Germs & Bacteria | Strong Sterilization Power | Handheld | Bottle Size: 250 ml | 12 Months Warranty
LYFRO Battery Powered Sanitizing Lamp (Disinfects Up To 99.9 Percent, Hova, White),LYFRO,3999,Sanitization Products,800 mAh Rechargeable Battery | Coverage Area: 3 Sq.M. | 30 Minute Safety Auto Shutdown | 360 Degree Dual Sanitization | Two-Way Magnetic Base
Hyperice Hypervolt Go Arm, Legs Massager (Patented QuietGlide Technology, 3 Speed Settings, 101314, Black),Hyperice,18999,Massagers,Arm, Legs Massager | Functions: Helps Pain Relief/Relaxation | TSA Approved | Handheld | 3 Speed Settings | 12 Months Warranty
WONDERCHEF Veneto Electric Ozonizer (De-Odorizers Food Items, 63153575, Black/White),Wonderchef,4500,Sanitization Products,Device Infector | Product Functions: Deodorizing | Disinfecting | Sterilizing | Ideal For: Household | Active Oxygen Cleaning Technology | Power Source: Electricity | 10 Litres Capacity | 12 Months Warranty
Hyperice Hypervolt Plus Arm, Legs Massager (Patented QuietGlide Technology, 3 Speed Settings, 101292, Black),Hyperice,39999,Massagers,Arm, Legs Massager | Functions: Helps Pain Relief/Relaxation | Bluetooth Support | Handheld | 3 Speed Settings | 12 Months Warranty
ACUVA Solarix Virus Disinfector (Disinfects 99.9 percent, 600-1200-04, White),Acuva,13249,Sanitization Products,Virus Disinfector | Functions: Sanitizing | Disinfecting | Decontaminating | Disinfects 99.9% Virus and Bacteria | Handheld | Disinfects under 10 seconds | 12 Months Warranty
Hyperice Vyper 2.0 Full Body Massager (Vibration Technology, Three Vibration Settings, 101067, Black),Hyperice,15999,Massagers,Full Body Massager | Functions: Helps Pain Relief/Relaxation | TSA Approved | Portable | Three Vibration Settings | 12 Months Warranty
WONDERCHEF Battery Powered Automatic Soap Dispenser (Convenient and Secure, 63153571, White),Wonderchef,3000,Sanitization Products,Product Functions: Disinfecting | Ideal For: Household | Commercial Places | Two-Volume Setting | Power Source: Battery Powered | 280 ml Capacity | 12 Months Warranty
Hyperice Hypersphere Mini Arm, Back, Feet, Shoulder Massager (Vibration Technology, Three High-Intensity Vibration Settings, 101124, Black),Hyperice,8999,Massagers,Arm, Back, Feet, Shoulder Massager | Functions: Helps Pain Relief/Relaxation | TSA Approved | Portable | Three High-Intensity Vibration Settings | 12 Months Warranty
nedis LCD Display Digital Wine Thermometer (Automatic Turn On and  Off, KATH100SS, Matte Black),Nedis,1099,Health Monitors,Wine Thermometer | Automatic Turn On / Off | LCD Digital Display | Range of 0-50 Â°C | 6 Months Warranty
WONDERCHEF Torino Electric UVC Sanitizing Oven (Certified By ATCC, 63153576, Silver),Wonderchef,12000,Sanitization Products,Product Functions: Disinfecting | Sterilizing | Ideal For: Household | Installation Type: Table Top | Power Source: Electricity | 21 Litres Capacity | 24 Months Warranty
LYFRO Electric UV Sanitizer Box (Capsule, White),LYFRO,4499,Sanitization Products,Integrated Aroma Function | Deep AbsoDense Sanitization in 8 Minutes | Eliminates Upto 99.9% Bacteria and Virus | 800 ml Capacity | Safety Shut Off Sensor
Hyperice Vyper Go Full Body Massager (Polypropylene, 3 Speed Vibration, 31020 356-00, Black),Hyperice,15999,Massagers,Full Body, Massager | Functions: Pain Relief / Relaxation | 3 Speed Vibration | Eco-friendly polypropylene roller | 12 Months Warranty
Hyperice Hypersphere Arm, Back, Feet, Shoulder Massager (Vibration Technology, Three Vibration Frequency Levels, 101068, Black),Hyperice,11999,Massagers,Arm, Back, Feet, Shoulder Massager | Functions: Helps Pain Relief/Relaxation | Single Button Control | Portable | 3 Vibration Frequency Levels | 12 Months Warranty
nedis Pain Reliever Double Bed Over-Blanket (9 Heat Settings, PEBL140CWT, Grey),Nedis,8899,Other Health Care Products,Electric Double Bed Over-Blanket | Functions: Helps Pain Relief/Relaxation | Polyester Material | Overheat and Short Circuit Protection | 9 Heat Setting | 6 Months Warranty
voltmi Smartwatch (24/7 Health Monitoring System, 40mm) (Monitor Body Temperature to Prevent Coronavirus Pneumonia, Dr Senor, Gold),Voltmi,4999,Health Monitors,Compatible Devices: Smartphones | Ideal For: Unisex | Lifestyle: Workout |Health Monitoring | Basic Features: SMS, Call Notification | Health Tracker: Body Temperature | Blood Pressure | Blood Oxygen Level | Immunity Level | ECG
TRAVEL BLUE Cotton Face Mask (Pack of 2, 521, Black & Navy),Travel Blue,499,Other Health Care Products,Face Mask | Functions: Protects From Pollution | Expandable Ear Loop To Tie | 5 Layer SSMMS Filter | Reusable Up to 30 Gentle Hand Washes | 3 Ply Protection From Pollution and Dust
TRAVEL BLUE Pollution Mask (5 Layer SSMMS Filter, 522, Multicolor),Travel Blue,499,Other Health Care Products,Pollution Mask | Functions: Protects From Pollution | 5 Layered SSMMS Filtered | Premium Cotton Material | 3 Ply Protection
NanoGard Disinfectant Solution Spray (Antimicrobial Scren, N91501, Transparent),NanoGard,999,Sanitization Products,Disinfectant Solution Spray | Antimicrobial Scren | Transparent | 12 Month Warranty
R for Rabbit Hot Bot Bottle Warmer (5-in-1 Multi-function, BPA Free Material, WRHBW01, White),R for Rabbit,2493,Baby Care Products,Product Type: Bottle Warmer | Power Source: Electrical | Suitable Age Group Up to: 36 Months | Product Function: Warming | Sterilization | Safety Classification: BPA Free Material | Power: 150 Watts
VinCense VitAlert SmartHealth 1 Year Annual Subscription for Wearable Band (Clinical Grade Monitoring, VinCenseRCA20),VinCense,3900,Other Health Care Products,Service Type: Annual Subscription | Product Covered: Health Wrist Band, No. of Devices Covered: 1 | Service Available From: From the purchase day of the wrist band | 12 Months Service Period
Ultraprolink Mobile Cleaning Kit (UM0008, As Per Stock Availability),Ultra,199,Sanitization Products,Cleaning Kit | Anti Drip | Anti Bacterial | Anti Static | Dust Repellent | No Eye Stain
Hyperice Hypervolt 2 Massager Attachments (Five Head Attachments, 40015 038-00, Black),Hyperice,2149,Massagers,Massager Attachments | Functions: Pain Relief / Relaxation | Five Head Attachments | Handheld | Plug-n-play Massager | 12 Months Warranty
